case,es_type,paper,study_ID,sei,mu_self_inclusive,mu_leave_one_out,power_self,power_loo,type_M_self,type_M_loo,type_S_self,type_S_loo
MA14_02.csv,SMD,MA14,"Williamson, Baker & Wright",0.3065434885257734,-0.23607219737444507,-0.2576682862866448,0.12021789398676697,0.13403496306370188,3.179,2.933,0.026335563137057587,0.019032223966639325
MA14_02.csv,SMD,MA14,"Williamson, Baker & Wright",0.29491260929425234,-0.23607219737444507,-0.2576682862866448,0.12601598791701363,0.14098427029307692,3.056,2.837,0.022902857851857462,0.016319607118419663
MA14_02.csv,SMD,MA14,"Williamson, Baker & Wright",0.2971116185234207,-0.23607219737444507,-0.2576682862866448,0.12486610450171987,0.13960618497128918,3.085,2.857,0.023536440002582638,0.016817238724988748
MA14_02.csv,SMD,MA14,"Williamson, Baker & Wright",0.29772813331130427,-0.23607219737444507,-0.2576682862866448,0.12454839389276218,0.1392254122366634,3.052,2.836,0.02371539089537991,0.016958048124268307
MA14_02.csv,SMD,MA14,"Williamson, Baker & Wright",0.29659356290005595,-0.23607219737444507,-0.2576682862866448,0.12513464535871888,0.13992802485305467,3.086,2.857,0.023386513100359545,0.016699353752588467
MA14_02.csv,SMD,MA14,"Williamson, Baker & Wright",0.2948840008283892,-0.23607219737444507,-0.2576682862866448,0.12603112129624583,0.14100240658615926,3.074,2.836,0.022894663917120125,0.016313180769380004
MA14_02.csv,SMD,MA14,"Williamson, Baker & Wright",0.29609868708289827,-0.23607219737444507,-0.2576682862866448,0.12539251920595829,0.14023707755813086,3.078,2.822,0.02324367555118814,0.016587116859056214
MA14_02.csv,SMD,MA14,"Williamson, Baker & Wright",0.2948916334153911,-0.23607219737444507,-0.2576682862866448,0.1260270833500058,0.14099756739199054,3.071,2.814,0.02289684989225382,0.016314895165005696
MA14_02.csv,SMD,MA14,"Williamson, Baker & Wright",0.30083677870320313,-0.23607219737444507,-0.2576682862866448,0.12297673972744383,0.13734173993784582,3.117,2.879,0.024626389476822393,0.017676596397401708
MA14_02.csv,SMD,MA14,"Williamson, Baker & Wright",0.29860100596162864,-0.23607219737444507,-0.2576682862866448,0.12410201352694827,0.13869042291126443,3.088,2.846,0.02396973224480493,0.017158371550632774
MA14_02.csv,SMD,MA14,Ciarlo et al,0.32193541871734793,-0.23607219737444507,-0.23147296307830828,0.11351058789897606,0.11100279748026431,3.316,3.401,0.03116811838539685,0.033264647967859995
