scenario_label,case,es_type,paper,power_min,power_q1,power_median,power_q3,power_max,power_mean,type_M_min,type_M_q1,type_M_median,type_M_q3,type_M_max,type_M_mean,type_S_min,type_S_q1,type_S_median,type_S_q3,type_S_max,type_S_mean,n_rows
uncorrected,MA01_02.csv,SMD,MA01,0.5321860284173794,0.6442930312387447,0.7421135493723393,0.795979203506626,0.8981315316329491,0.7305038965487949,1.066,1.13225,1.166,1.2465000000000002,1.366,1.1837142857142857,1.1650599625894169e-7,1.3253045832410343e-6,3.2954654797073207e-6,1.3921876433314606e-5,5.935721926659375e-5,1.003491718754807e-5,14
uncorrected,MA01_03.csv,SMD,MA01,0.5882100619831984,0.8322525845240214,0.9352794668287767,0.9658360543699782,0.9690016076254333,0.878935819103197,1.02,1.0225,1.0385,1.10575,1.304,1.0794375,3.7139517942038964e-9,4.821848784979224e-9,2.9345218333482012e-8,6.393320414662597e-7,2.916057719017616e-5,2.5774408498031515e-6,16
uncorrected,MA05_01.csv,SMD,MA05,0.07150036562640161,0.08685401079080046,0.09680228811667912,0.10362285665677495,0.1092354283541519,0.09327275754969219,3.409,3.597,3.817,4.279,5.579,4.131705882352941,0.03485229964210576,0.04059248858131808,0.04935191246533011,0.06724419983292818,0.11763307146669127,0.061893561717593124,17
uncorrected,MA05_02.csv,SMD,MA05,0.15506838934870704,0.41876733516145875,0.5412007962276437,0.6588320963972357,0.8607174507085684,0.5263517274599461,1.089,1.23625,1.353,1.534,2.623,1.4711875,3.270873279287601e-7,1.1781583697142623e-5,5.339662627165819e-5,2.653854053760522e-4,0.012145557959234691,0.0010098022465906008,16
uncorrected,MA05_03.csv,SMD,MA05,0.6348634721694678,0.6864570028167299,0.7320278043919377,0.7668526083028179,0.7862081459570976,0.7212818067276102,1.131,1.1475,1.177,1.21475,1.256,1.18525,1.5504062471020172e-6,2.2126950616121043e-6,4.199334756051138e-6,8.415770797213498e-6,1.5767448651893567e-5,6.4291311027744655e-6,4
uncorrected,MA06_01.csv,SMD,MA06,0.1234317986533171,0.153235838260653,0.16778084448763697,0.1808118674516248,0.5131855513334375,0.18295137348425303,1.391,2.39,2.513,2.664,3.132,2.498090909090909,7.522955548271033e-5,0.007403409069833496,0.009451001942587871,0.012607427035564986,0.02435812879978582,0.010345739570247104,33
uncorrected,MA06_02.csv,SMD,MA06,0.2563326992304109,0.3086110328995587,0.35540482637379933,0.5890283451933341,0.8183948977115991,0.4706222006306543,1.109,1.301,1.663,1.781,1.962,1.5527692307692307,8.375493680094378e-7,2.885402590518457e-5,5.447693867261149e-4,0.0010173843460043685,0.0021463390553201987,6.713592576642229e-4,13
uncorrected,MA08.csv,SMD,MA08,0.060661702210378254,0.09712439061607636,0.1150514445263322,0.13723645929401063,0.7311948504653565,0.1322935969644742,1.177,2.8715,3.292,3.834,7.806,3.389220338983051,3.913879228501594e-6,0.01771786455761138,0.029963694051500966,0.04888592033330454,0.19426175838334364,0.03730169540030186,531
uncorrected,MA09.csv,lnRR,MA09,0.05008869994156673,0.0887009992760619,0.1762008342215864,0.4680310439159303,1,0.31413549917966066,0.996,1.449,2.434,4.173,83.319,3.444567463377024,0,1.3167785653731034e-4,0.00806052395425408,0.06333091917682908,0.46751976034863485,0.04505490528452726,1297
uncorrected,MA10.csv,SMD,MA10,0.08832123928568636,0.14224908290932142,0.19123815453265292,0.2503460331695301,0.6328309487475422,0.22731305547447356,1.253,1.993,2.3205,2.8235,4.21,2.4001875,1.6205241435066107e-5,0.0023513797842300683,0.00616902505113273,0.015986981895775743,0.06410990586779083,0.011687745899523023,32
uncorrected,MA12.csv,SMD,MA12,0.08417931608944673,0.1471586034760599,0.1598458816454883,0.17947660255210085,0.40877827264649924,0.1643587466937131,1.546,2.4175,2.5854999999999997,2.75225,4.435,2.620414285714286,0.00027543305204754613,0.007586872826925692,0.011035206849446885,0.01430155712962924,0.07351521988617181,0.012786559978648148,70
uncorrected,MA13_01.csv,SMD,MA13,0.06079196885911664,0.530755383775212,0.690089675294622,0.8911748626998905,0.9993350437393466,0.6770728834880823,1.004,1.0645,1.208,1.3755000000000002,7.744,1.5486744186046513,5.044695016444795e-13,1.4462732313156436e-7,7.284241098775665e-6,6.0948748995270495e-5,0.19291628467196031,0.008652195383847795,43
uncorrected,MA13_02.csv,SMD,MA13,0.08168651298554419,0.11142230431034217,0.12572495402206718,0.17279454247463943,0.328949049123081,0.15008487543771468,1.73,2.465,3.071,3.379,4.57,2.9703513513513515,7.724264827837337e-4,0.008591198910669758,0.023061160047096064,0.03290156698252485,0.08010164718198645,0.023969152184177927,37
uncorrected,MA13_03.csv,SMD,MA13,0.1710600584180233,0.41163633205435063,0.5307252885286413,0.6661001010801799,0.8182108047687511,0.5289899138720768,1.113,1.2315,1.3744999999999998,1.548,2.474,1.4506428571428571,8.406767569465255e-7,1.027878453216138e-5,6.831132617340182e-5,2.8631073528449205e-4,0.00887753927356426,7.74845686890688e-4,14
uncorrected,MA14_01.csv,SMD,MA14,0.11123259573806443,0.16023963832236915,0.21845219868795251,0.3295057610063713,0.6503860683640587,0.26233543715988444,1.244,1.72625,2.142,2.595,3.41,2.1540384615384616,1.276407198209149e-5,7.666956514842701e-4,0.0038727125849909038,0.010949370958895333,0.03306512313411892,0.00679791145638954,104
uncorrected,MA14_02.csv,SMD,MA14,0.0926129692460197,0.13035523530002507,0.17811757971099762,0.26544853266880464,0.5316056282795949,0.2150521010570501,1.365,1.924,2.426,2.9815,3.975,2.480383233532934,5.9789744958169865e-5,0.0018767921467876996,0.007779215970640233,0.020697739827716638,0.05599956694587155,0.013593240311955346,167
uncorrected,MA15_01.csv,SMD,MA15,0.24078801244382486,0.251928432312847,0.288541326017955,0.37649708189665176,0.43713479154820845,0.3189779288438974,1.504,1.627,1.841,1.98,2.067,1.8038,1.932054267755988e-4,4.148318911935362e-4,0.0013450667574134278,0.0022929883005407886,0.0027176290313463535,0.001392744281453941,5
uncorrected,MA15_02.csv,SMD,MA15,0.669090951494421,0.7239442320740213,0.7899400688453212,0.8134137990047844,0.9335644172538929,0.7828106675327889,1.036,1.115,1.128,1.18,1.231,1.1393333333333333,3.142342387741269e-8,9.255707030245159e-7,1.4484069536113758e-6,4.383009092150277e-6,9.839333816826217e-6,2.9875258994494948e-6,9
uncorrected,MA15_03.csv,SMD,MA15,0.505371677591238,0.5300162615451441,0.5656107803111776,0.6067454761275746,0.7581535728711873,0.5843625939193325,1.152,1.2850000000000001,1.329,1.374,1.395,1.3136363636363637,2.5271302167741054e-6,2.296515492884378e-5,3.8950101161633044e-5,6.159930444183079e-5,8.290105501556792e-5,4.149028122944527e-5,11
uncorrected,MA15_04.csv,SMD,MA15,0.053125719475845656,0.05884988789948742,0.060042227034350915,0.06016887566516049,0.0669942419439894,0.060118472346434235,6.244,7.871,8.019,8.48,14.281,8.421454545454546,0.14266836704086658,0.19949512340273856,0.2008779610876742,0.2147728965856926,0.3161086485260803,0.2064496206518,11
uncorrected,MA17.csv,Zr,MA17,0.05248570406509423,0.05560881228558345,0.06115286636080697,0.06682123568986387,0.08324808384951943,0.06368891436082787,4.453,6.287999999999999,7.672000000000001,10.55375,15.772,8.288787878787879,0.07588559525942976,0.1437910138313943,0.18926752648956474,0.2624855142745619,0.3344111722376082,0.19267137137728585,66
uncorrected,MA18.csv,SMD,MA18,0.22234303761209895,0.5034141133620144,0.5673200219375573,0.7259646994019846,0.921779316649489,0.6017500194808176,1.049,1.181,1.326,1.4015,2.118,1.3394347826086956,5.123822772907822e-8,4.946391649933118e-6,3.811234436107387e-5,8.494466050960525e-5,0.0036352124149063186,2.4978537510221473e-4,23
uncorrected,MA20_cleaned.csv,lnRR,MA20,0.05446511796384701,0.05870941052722933,0.0684690746004093,0.10215581167617072,0.5292903882281293,0.11526910807527775,1.366,3.657,5.979,8.589,11.904,6.245793103448276,6.154576467351237e-5,0.04229285615257869,0.13367288621418122,0.21647179576327613,0.2845438245896222,0.1367013762032276,29
uncorrected,MA21.csv,SMD,MA21,0.06162605908919894,0.0666810928067178,0.07132983943346982,0.07743013494915929,0.08210273436932525,0.07186730663780146,4.583,4.917,5.559,6.308999999999999,7.468,5.693272727272728,0.07894704068571926,0.09367197591042806,0.11845877466096558,0.14545970924972068,0.18465121939528145,0.12227916388556302,11
uncorrected,MA22_01.csv,lnRR,MA22,0.05056165762620546,0.057488803884637174,0.07858036593357792,0.19867658544293187,0.8905311651814186,0.15975684792409425,1.063,2.26025,4.8495,9.24975,33.132,6.64395652173913,1.4681190507476781e-7,0.005401342691032148,0.08968685817986724,0.23271864336564574,0.41888589256533076,0.12579453094003745,92
uncorrected,MA22_02.csv,lnRR,MA22,0.05022407845269883,0.05298043154160817,0.06130169452395995,0.10792324237947637,0.5218549719071499,0.09631883274040712,1.382,3.47375,7.5695,14.579500000000001,52.575,10.42175,6.753127247315737e-5,0.0361199545024367,0.1879376452436688,0.3200544270989895,0.44848778565777037,0.1870946926238292,92
