paper_left_out,n_models_dropped,n_rows_dropped,level,metric,scenario_label,n_units,model_median,ci_lower_raw,ci_upper,ci_lower_floored,legacy_lognormal_mean,arith_mean_unweighted,arith_mean_kweighted,min,q1,median_raw,q3,max,n_at_bound,grouping
MA10,1,32,meta-analysis,type_S,corrected,47,0.012058126594863959,0.0032907584694735377,0.023542521339708695,0.0032907584694735377,0.03731384437250991,0.07032609522347731,0.05056336372648159,6.031812924633213e-57,1.0054456768087677e-5,0.001321821624398462,0.04841400151858638,0.4993584751387011,0,NA
MA10,1,32,primary-study,power,corrected,5708,0.08863458070713065,0.08567526378867218,0.0916961156548849,0.08567526378867218,0.1044965514203999,0.1064349468348849,NA,0.05000000090330303,0.05588062792137308,0.0683338004919079,0.10450887652142468,1,6,study
MA10,1,32,primary-study,type_M,corrected,5708,8.077351482580411,7.382298210543575,8.83784495185544,7.382298210543575,28.433974909022986,162.44702049754724,NA,0.999,3.57275,5.971500000000001,10.413,26294.047,5708,study
MA10,1,32,primary-study,type_S,corrected,5708,0.10210519736811133,0.09586413705512736,0.10866852725401696,0.09586413705512736,0.16957595857577074,0.17079057342387868,NA,1.6970934270344427e-72,0.039608878941014225,0.13446227627216878,0.2577390525236621,0.4998962001815142,0,study
MA12,1,70,meta-analysis,power,uncorrected,47,0.8204142941155153,0.7140827429589456,0.9425793027850221,0.7140827429589456,1.1393514182398354,0.7045443793620373,0.8846906288945422,0.0539316785204883,0.34845269652183797,0.9072582284218831,0.9999040432171102,1,16,NA
MA12,1,70,meta-analysis,type_M,uncorrected,47,1.1098751987606164,1.0246799490463046,1.2021538607937108,1.0246799490463046,1.3014433460834867,1.8089148936170212,1.178507054673721,0.998,1.0015,1.056,1.6755,12.67,45,NA
MA12,1,70,meta-analysis,type_S,uncorrected,47,5.903326877501891e-4,-7.251076823390976e-4,0.0019770559020480874,0,0.004336314187212274,0.013749178245758012,0.0016457677037938377,7.970070141940813e-93,1.0170427728380425e-14,8.660375753074583e-8,6.39995781581219e-4,0.2962281539428636,0,NA
MA12,1,70,primary-study,power,uncorrected,5670,0.17174733820544005,0.16438337838585781,0.1794411848101517,0.16438337838585781,0.23212741142798432,0.22741387164538915,NA,0.05000645922206981,0.09121429170940448,0.13387781121685605,0.2645375154385978,1,69,study
MA12,1,70,primary-study,type_M,uncorrected,5670,2.860550062004704,2.766637191915472,2.9576507831046035,2.766637191915472,3.4935913393407905,3.869543386243387,NA,0.996,1.933,2.925,4.0675,309.051,5659,study
MA12,1,70,primary-study,type_S,uncorrected,5670,0.027140189230485535,0.02516803951690015,0.02918986588214241,0.02516803951690015,0.0442596522679986,0.05035202078509996,NA,0,0.0019005741230966574,0.019099841307404632,0.05848335943835207,0.49122343371856075,0,study
MA12,1,70,meta-analysis,power,corrected,47,0.3860236216032989,0.2921091650322986,0.5101320132124247,0.2921091650322986,0.6810547777653664,0.3941202419218713,0.5283396468924474,0.05000003450386037,0.09275773247498836,0.2329969458894059,0.640777958093695,1,4,NA
MA12,1,70,meta-analysis,type_M,corrected,47,2.2004606199713157,1.4856683030117195,3.259157464845201,1.4856683030117195,6.343295466481353,94.98478723404256,35.51785520282187,0.995,1.2494999999999998,2.065,4.015000000000001,4219.611,45,NA
MA12,1,70,meta-analysis,type_S,corrected,47,0.01240865668299724,0.0035248132917502298,0.024059307786287315,0.0035248132917502298,0.03775000190804088,0.07156145918905246,0.05122992370451936,6.031812924633213e-57,1.4743412235230002e-5,0.0030681832905753233,0.05581118272743063,0.4993584751387011,0,NA
MA12,1,70,primary-study,power,corrected,5670,0.08706871659610349,0.08419607739218915,0.09003936578161621,0.08419607739218915,0.10250944965203117,0.10544466895438463,NA,0.05000000090330303,0.055678535619403585,0.06773616039280561,0.10209025252847004,1,6,study
