paper_left_out,n_models_dropped,n_rows_dropped,level,metric,scenario_label,model_median,full,abs_change,pct_change
MA23,1,24,meta-analysis,type_M,corrected,2.1744015415751043,2.1798724903359523,-0.005470948760847971,-0.2509756320657419
MA32,1,13,meta-analysis,type_M,corrected,2.1837269143253573,2.1798724903359523,0.0038544239894049426,0.17681878213027247
MA43,1,13,meta-analysis,type_M,corrected,2.1766663888226154,2.1798724903359523,-0.0032061015133368898,-0.14707747941912208
MA05,3,37,meta-analysis,type_M,corrected,2.1828045718105096,2.1798724903359523,0.0029320814745572576,0.13450701761483774
MA21,1,11,meta-analysis,type_M,corrected,2.178257203953997,2.1798724903359523,-0.0016152863819551833,-0.07410003975536483
MA17,1,66,meta-analysis,type_M,corrected,2.1796740506799304,2.1798724903359523,-1.9843965602195368e-4,-0.00910326897108904
MA25,1,43,meta-analysis,type_M,corrected,2.180046047057012,2.1798724903359523,1.7355672105967557e-4,0.007961783169840864
MA09,1,1297,meta-analysis,type_M,uncorrected,1.142947231895845,1.108706281623009,0.0342409502728358,3.088369827102566
MA22,3,276,meta-analysis,type_M,uncorrected,1.0763946196106076,1.108706281623009,-0.03231166201240154,-2.9143572601664447
MA31,1,734,meta-analysis,type_M,uncorrected,1.1257744709270934,1.108706281623009,0.01706818930408427,1.5394689817305407
MA41,4,527,meta-analysis,type_M,uncorrected,1.094750642542641,1.108706281623009,-0.01395563908036812,-1.2587318491547483
MA39,2,52,meta-analysis,type_M,uncorrected,1.0961628167527173,1.108706281623009,-0.012543464870291787,-1.1313604944972133
MA34,1,555,meta-analysis,type_M,uncorrected,1.1206613529576703,1.108706281623009,0.011955071334661227,1.0782902138121164
MA08,1,531,meta-analysis,type_M,uncorrected,1.1205451228125456,1.108706281623009,0.011838841189536486,1.0678068110343775
MA26,1,459,meta-analysis,type_M,uncorrected,1.1170572914030987,1.108706281623009,0.008351009780089624,0.7532211117145193
MA14,2,271,meta-analysis,type_M,uncorrected,1.1140983632909165,1.108706281623009,0.005392081667907389,0.4863399583173722
MA15,4,36,meta-analysis,type_M,uncorrected,1.1035783531198766,1.108706281623009,-0.005127928503132484,-0.4625146071713271
MA17,1,66,meta-analysis,type_M,uncorrected,1.1038978246229776,1.108706281623009,-0.0048084570000315185,-0.4336998066785114
MA28,2,168,meta-analysis,type_M,uncorrected,1.1121110285612277,1.108706281623009,0.0034047469382185724,0.3070918776823861
