case,es_type,study_ID,sei,power_base,power_opt,type_M_base,type_M_opt,type_S_base,type_S_opt,power_change_pp
MA28_01.csv,SMD,Alzoubi_etal_2013a,0.3807886552931954,0.45478499134889205,0.6224974430848345,1.471,1.27,1.5516780136102805e-4,1.8608913474062493e-5,16.77124517359424
MA28_01.csv,SMD,Alzoubi_etal_2013a,0.3807886552931954,0.45478499134889205,0.6224974430848345,1.465,1.273,1.5516780136102805e-4,1.8608913474062493e-5,16.77124517359424
MA28_01.csv,SMD,Alzoubi_etal_2013a,0.3807886552931954,0.45478499134889205,0.6224974430848345,1.474,1.272,1.5516780136102805e-4,1.8608913474062493e-5,16.77124517359424
MA28_01.csv,SMD,Alzoubi_etal_2013b,0.41109609582188933,0.4014660876299173,0.5574782714255788,1.563,1.337,3.0200964830546275e-4,4.318260864898415e-5,15.60121837956615
MA28_01.csv,SMD,Alzoubi_etal_2013b,0.41109609582188933,0.4014660876299173,0.5574782714255788,1.559,1.333,3.0200964830546275e-4,4.318260864898415e-5,15.60121837956615
MA28_01.csv,SMD,Alzoubi_etal_2013b,0.41109609582188933,0.4014660876299173,0.5574782714255788,1.563,1.336,3.0200964830546275e-4,4.318260864898415e-5,15.60121837956615
MA28_01.csv,SMD,Alzoubi_etal_2018,0.3674234614174767,0.4814687180094567,0.6534612317706842,1.44,1.237,1.1149247571997064e-4,1.2234892494889979e-5,17.19925137612275
MA28_01.csv,SMD,Alzoubi_etal_2018,0.3674234614174767,0.4814687180094567,0.6534612317706842,1.428,1.244,1.1149247571997064e-4,1.2234892494889979e-5,17.19925137612275
MA28_01.csv,SMD,Amold_etal_2014,0.623698645180507,0.20349072943916224,0.2837831642885301,2.23,1.867,0.004965754768090557,0.0014388936289654519,8.029243484936789
MA28_01.csv,SMD,Amad_etal_2014,0.4538722287164087,0.34074686467481563,0.47859319944111556,1.685,1.431,6.602895031225726e-4,1.1553399441980703e-4,13.784633476629992
