aggregation,crit_value_method,exclusion_unit,role,verification_status,dropped_source_paper,n_models_dropped,n_models_remaining,n_effect_sizes_dropped,n_effect_sizes_remaining,pct_of_effect_sizes_dropped,metric,effect_estimator,se_source,se_method,spec_role,geometric_mean,ci_lower,ci_upper,raw_median,raw_q1,raw_q3,raw_min,raw_max,arithmetic_mean_unweighted,arithmetic_mean_kweighted,n_unit,summary_dominated_by_offset,weighting,summary_all_28_papers,abs_change,pct_change,influence_rank
meta_analysis_level,z_1.96,source_paper,influence_check,two_derivations,MA24,1,47,139,5601,2.421602787456446,power,uncorrected_beta0,se_beta0,NA,reference_uncorrected,0.8180921790643514,0.711597342059956,0.9405246111639758,0.9072582284218831,0.34845269652183797,0.9999040432171102,0.0539316785204883,1,0.7038752349859699,0.8828806468094664,47,FALSE,k_effect_sizes,0.8220737046105893,-0.003981525546237874,-0.4843270772325603,18
meta_analysis_level,z_1.96,source_paper,influence_check,two_derivations,MA24,1,47,139,5601,2.421602787456446,power,uncorrected_beta0,se_beta0,NA,reference_uncorrected,0.5625655021334139,0.44349862213218544,0.7135984835062078,0.9072582284218831,0.34845269652183797,0.9999040432171102,0.0539316785204883,1,0.7038752349859699,0.70387523498597,47,FALSE,equal_per_meta_analysis,0.5693445724590971,-0.006779070325683145,-1.190679713763354,18
meta_analysis_level,z_1.96,source_paper,influence_check,two_derivations,MA25,1,47,43,5697,0.7491289198606271,power,uncorrected_beta0,se_beta0,NA,reference_uncorrected,0.8208785103613676,0.7147106227140406,0.9428172848673404,0.9072582284218831,0.34845269652183797,0.9999040432171102,0.0539316785204883,1,0.7039362267706823,0.8848709446071827,47,FALSE,k_effect_sizes,0.8220737046105893,-0.0011951942492216538,-0.1453877240590984,23
meta_analysis_level,z_1.96,source_paper,influence_check,two_derivations,MA25,1,47,43,5697,0.7491289198606271,power,uncorrected_beta0,se_beta0,NA,reference_uncorrected,0.5625998743688636,0.44351996375977715,0.7136513449286277,0.9072582284218831,0.34845269652183797,0.9999040432171102,0.0539316785204883,1,0.7039362267706823,0.7039362267706826,47,FALSE,equal_per_meta_analysis,0.5693445724590971,-0.006744698090233481,-1.1846425550527284,19
meta_analysis_level,z_1.96,source_paper,influence_check,two_derivations,MA26,1,47,459,5281,7.996515679442509,power,uncorrected_beta0,se_beta0,NA,reference_uncorrected,0.8101536004054742,0.7021171395265904,0.9348138925828001,0.9072582284218831,0.34845269652183797,0.9999040432171102,0.0539316785204883,1,0.7044539133501372,0.8781654327391316,47,FALSE,k_effect_sizes,0.8220737046105893,-0.011920104205115023,-1.450004316919673,8
meta_analysis_level,z_1.96,source_paper,influence_check,two_derivations,MA26,1,47,459,5281,7.996515679442509,power,uncorrected_beta0,se_beta0,NA,reference_uncorrected,0.5628957501388375,0.4437048901169708,0.7141044252201846,0.9072582284218831,0.34845269652183797,0.9999040432171102,0.0539316785204883,1,0.7044539133501372,0.7044539133501373,47,FALSE,equal_per_meta_analysis,0.5693445724590971,-0.006448822320259562,-1.132674768884856,21
meta_analysis_level,z_1.96,source_paper,influence_check,two_derivations,MA28,2,46,168,5572,2.926829268292683,power,uncorrected_beta0,se_beta0,NA,reference_uncorrected,0.8172317896292696,0.7094824518390265,0.9413450554689553,0.8954155728552393,0.3345302290575166,0.9996739684970676,0.0539316785204883,1,0.6974314004785058,0.8822638132219337,46,FALSE,k_effect_sizes,0.8220737046105893,-0.004841914981319695,-0.5889879403956022,11
meta_analysis_level,z_1.96,source_paper,influence_check,two_derivations,MA28,2,46,168,5572,2.926829268292683,power,uncorrected_beta0,se_beta0,NA,reference_uncorrected,0.5555706869050724,0.4362333861182031,0.7075542541453691,0.8954155728552393,0.3345302290575166,0.9996739684970676,0.0539316785204883,1,0.6974314004785058,0.6974314004785059,46,FALSE,equal_per_meta_analysis,0.5693445724590971,-0.0137738855540247,-2.4192529832211984,7
meta_analysis_level,z_1.96,source_paper,influence_check,two_derivations,MA31,1,47,734,5006,12.787456445993032,power,uncorrected_beta0,se_beta0,NA,reference_uncorrected,0.7987937069974068,0.6903473224615714,0.9242758906683203,0.9072582284218831,0.34845269652183797,0.9998021454824398,0.0539316785204883,1,0.7038690327703443,0.8689520683316507,47,FALSE,k_effect_sizes,0.8220737046105893,-0.023279997613182446,-2.831862579062794,3
meta_analysis_level,z_1.96,source_paper,influence_check,two_derivations,MA31,1,47,734,5006,12.787456445993032,power,uncorrected_beta0,se_beta0,NA,reference_uncorrected,0.5625620124826268,0.4434964570653829,0.7135931140975188,0.9072582284218831,0.34845269652183797,0.9998021454824398,0.0539316785204883,1,0.7038690327703443,0.7038690327703445,47,FALSE,equal_per_meta_analysis,0.5693445724590971,-0.006782559976470259,-1.19129263798462,14
meta_analysis_level,z_1.96,source_paper,influence_check,two_derivations,MA32,1,47,13,5727,0.2264808362369338,power,uncorrected_beta0,se_beta0,NA,reference_uncorrected,0.8217179308066412,0.7156561398651456,0.9434983090292258,0.9072582284218831,0.34845269652183797,0.9999040432171102,0.0539316785204883,1,0.7039800050250127,0.8854621569499423,47,FALSE,k_effect_sizes,0.8220737046105893,-3.5577380394802294e-4,-0.04327760417984772,26
meta_analysis_level,z_1.96,source_paper,influence_check,two_derivations,MA32,1,47,13,5727,0.2264808362369338,power,uncorrected_beta0,se_beta0,NA,reference_uncorrected,0.5626246081202506,0.44353533910984605,0.7136893540383028,0.9072582284218831,0.34845269652183797,0.9999040432171102,0.0539316785204883,1,0.7039800050250127,0.7039800050250128,47,FALSE,equal_per_meta_analysis,0.5693445724590971,-0.006719964338846474,-1.180298305088212,20
meta_analysis_level,z_1.96,source_paper,influence_check,two_derivations,MA34,1,47,555,5185,9.668989547038327,power,uncorrected_beta0,se_beta0,NA,reference_uncorrected,0.8050139719941725,0.6971331629690625,0.9295892514219604,0.9072582284218831,0.34845269652183797,0.9998021454824398,0.0539316785204883,1,0.7038692932191762,0.8734774979186049,47,FALSE,k_effect_sizes,0.8220737046105893,-0.0170597326164168,-2.075207188934214,5
