part,level,assumed_effect,weighting,metric,n_unit,summary_estimate,ci,n_constrained_limits,raw_median_iqr,offset_note
B. Sensitivity to the assumed effect (primary-study level),All metrics,optimistic (95% CI limit farther from zero),-,Type S error,5740,0.0106,"[0.0097, 0.0115]",0,"0.0035 [7.7e-05, 0.0193]",summary sensitive to the 0.025 offset
B. Sensitivity to the assumed effect (primary-study level),SMD,small (d = 0.2),-,Statistical power,2835,0.0767,"[0.0754, 0.0780]",0,"0.0731 [0.0663, 0.0838]",
B. Sensitivity to the assumed effect (primary-study level),SMD,small (d = 0.2),-,Type M error,2835,5.3583,"[5.2530, 5.4656]",0,"5.3462 [4.4632, 6.3238]",
B. Sensitivity to the assumed effect (primary-study level),SMD,small (d = 0.2),-,Type S error,2835,0.104,"[0.1003, 0.1079]",0,"0.1103 [0.0746, 0.1473]",
B. Sensitivity to the assumed effect (primary-study level),SMD,medium (d = 0.5),-,Statistical power,2835,0.2053,"[0.1994, 0.2113]",0,"0.2002 [0.1553, 0.2697]",
B. Sensitivity to the assumed effect (primary-study level),SMD,medium (d = 0.5),-,Type M error,2835,2.2807,"[2.2411, 2.3211]",0,"2.2560 [1.9114, 2.6412]",
B. Sensitivity to the assumed effect (primary-study level),SMD,medium (d = 0.5),-,Type S error,2835,0.0087,"[0.0081, 0.0093]",0,"0.0053 [0.0018, 0.0121]",summary sensitive to the 0.025 offset
B. Sensitivity to the assumed effect (primary-study level),SMD,large (d = 0.8),-,Statistical power,2835,0.4144,"[0.4034, 0.4257]",0,"0.4304 [0.3235, 0.5761]",
B. Sensitivity to the assumed effect (primary-study level),SMD,large (d = 0.8),-,Type M error,2835,1.5519,"[1.5300, 1.5741]",0,"1.5115 [1.3159, 1.7399]",
B. Sensitivity to the assumed effect (primary-study level),SMD,large (d = 0.8),-,Type S error,2835,0.0012,"[0.00099, 0.0014]",0,"0.00021 [3.4e-05, 0.00083]",summary sensitive to the 0.025 offset
B. Sensitivity to the assumed effect (primary-study level),Zr,small (r = 0.1),-,Statistical power,1303,0.0865,"[0.0827, 0.0905]",0,"0.0841 [0.0698, 0.1142]",
B. Sensitivity to the assumed effect (primary-study level),Zr,small (r = 0.1),-,Type M error,1303,4.8866,"[4.6100, 5.1797]",0,"4.4445 [3.3067, 5.7519]",
B. Sensitivity to the assumed effect (primary-study level),Zr,small (r = 0.1),-,Type S error,1303,0.0801,"[0.0720, 0.0887]",0,"0.0738 [0.0306, 0.1261]",
B. Sensitivity to the assumed effect (primary-study level),Zr,medium (r = 0.3),-,Statistical power,1303,0.3312,"[0.3056, 0.3589]",0,"0.3848 [0.2477, 0.6235]",
B. Sensitivity to the assumed effect (primary-study level),Zr,medium (r = 0.3),-,Type M error,1303,1.7868,"[1.7011, 1.8769]",0,"1.5959 [1.2678, 2.0009]",
B. Sensitivity to the assumed effect (primary-study level),Zr,medium (r = 0.3),-,Type S error,1303,0.0053,"[0.0038, 0.0068]",0,"0.00037 [1.8e-05, 0.0024]",summary sensitive to the 0.025 offset
B. Sensitivity to the assumed effect (primary-study level),Zr,large (r = 0.5),-,Statistical power,1303,0.6531,"[0.6117, 0.6974]",0,"0.8409 [0.6198, 0.9811]",
B. Sensitivity to the assumed effect (primary-study level),Zr,large (r = 0.5),-,Type M error,1303,1.2469,"[1.2031, 1.2924]",0,"1.0975 [1.0117, 1.2713]",
B. Sensitivity to the assumed effect (primary-study level),Zr,large (r = 0.5),-,Type S error,1303,0.0011,"[0.0005, 0.0017]",0,"5.2e-07 [1e-09, 1.9e-05]",summary sensitive to the 0.025 offset
B. Sensitivity to the assumed effect (primary-study level),lnRR,10% change,-,Statistical power,1602,0.1254,"[0.1133, 0.1389]",0,"0.0752 [0.0579, 0.1399]",
B. Sensitivity to the assumed effect (primary-study level),lnRR,10% change,-,Type M error,1602,4.2929,"[3.8921, 4.7349]",0,"5.1270 [2.8364, 9.0186]",
B. Sensitivity to the assumed effect (primary-study level),lnRR,10% change,-,Type S error,1602,0.0619,"[0.0529, 0.0721]",0,"0.1015 [0.0167, 0.2276]",
B. Sensitivity to the assumed effect (primary-study level),lnRR,25% change,-,Statistical power,1602,0.2726,"[0.2439, 0.3046]",0,"0.1935 [0.0939, 0.5294]",
B. Sensitivity to the assumed effect (primary-study level),lnRR,25% change,-,Type M error,1602,2.1824,"[2.0207, 2.3571]",0,"2.3019 [1.3695, 3.9467]",
B. Sensitivity to the assumed effect (primary-study level),lnRR,25% change,-,Type S error,1602,0.0173,"[0.0141, 0.0207]",0,"0.0059 [6.1e-05, 0.0539]",summary sensitive to the 0.025 offset
B. Sensitivity to the assumed effect (primary-study level),lnRR,50% change,-,Statistical power,1602,0.4677,"[0.4267, 0.5127]",0,"0.5087 [0.1992, 0.9587]",
B. Sensitivity to the assumed effect (primary-study level),lnRR,50% change,-,Type M error,1602,1.5285,"[1.4455, 1.6164]",0,"1.3956 [1.0250, 2.2627]",
B. Sensitivity to the assumed effect (primary-study level),lnRR,50% change,-,Type S error,1602,0.0056,"[0.0043, 0.0070]",0,"8e-05 [8.1e-09, 0.0053]",summary sensitive to the 0.025 offset
B. Sensitivity to the assumed effect (primary-study level),lnRR,optimistic (95% CI limit farther from zero),-,Statistical power,1602,0.258,"[0.2308, 0.2883]",0,"0.2450 [0.1102, 0.6729]",
B. Sensitivity to the assumed effect (primary-study level),lnRR,optimistic (95% CI limit farther from zero),-,Type M error,1602,2.2923,"[2.1115, 2.4887]",0,"2.0125 [1.2227, 3.4078]",
B. Sensitivity to the assumed effect (primary-study level),lnRR,optimistic (95% CI limit farther from zero),-,Type S error,1602,0.0189,"[0.0155, 0.0227]",0,"0.0025 [9.3e-06, 0.0340]",summary sensitive to the 0.025 offset
